camp_id,slot,role,required_count
CAMP010,morning,triage_nurse,5
CAMP010,morning,doctor,4
CAMP010,morning,registration,3
CAMP010,morning,pharmacy,2
CAMP010,afternoon,triage_nurse,4
CAMP010,afternoon,doctor,3
CAMP010,afternoon,registration,2
CAMP010,afternoon,pharmacy,2
CAMP011,morning,triage_nurse,3
CAMP011,morning,doctor,3
CAMP011,morning,registration,2
CAMP011,morning,pharmacy,1
CAMP011,afternoon,triage_nurse,2
CAMP011,afternoon,doctor,2
CAMP011,afternoon,registration,1
CAMP011,afternoon,pharmacy,1
CAMP012,morning,triage_nurse,2
CAMP012,morning,doctor,2
CAMP012,morning,registration,1
CAMP012,morning,pharmacy,1
CAMP012,afternoon,triage_nurse,2
CAMP012,afternoon,doctor,1
CAMP012,afternoon,registration,1
CAMP012,afternoon,pharmacy,1
