camp_id,slot,role,volunteers_needed
CAMP001,morning,triage_nurse,5
CAMP001,morning,doctor,4
CAMP001,morning,registration,3
CAMP001,morning,pharmacy,2
CAMP001,afternoon,triage_nurse,4
CAMP001,afternoon,doctor,3
CAMP001,afternoon,registration,2
CAMP001,afternoon,pharmacy,2
CAMP002,morning,triage_nurse,3
CAMP002,morning,doctor,3
CAMP002,morning,registration,2
CAMP002,morning,pharmacy,1
CAMP002,afternoon,triage_nurse,2
CAMP002,afternoon,doctor,2
CAMP002,afternoon,registration,1
CAMP002,afternoon,pharmacy,1
CAMP003,morning,triage_nurse,2
CAMP003,morning,doctor,2
CAMP003,morning,registration,1
CAMP003,morning,pharmacy,1
CAMP003,afternoon,triage_nurse,2
CAMP003,afternoon,doctor,1
CAMP003,afternoon,registration,1
CAMP003,afternoon,pharmacy,1
